id;name;description;code;increase_when;decrease_when;balance
1;Metal disintermediate Handcrafted Steel Table;reinvent;95363;CREDIT;DEBIT;95681
2;Jewelery plum;Seamless deposit transitional;23907;DEBIT;CREDIT;38653
3;primary customer loyalty Chair;Credit Card Account;84051;CREDIT;DEBIT;60254
4;dot-com;Wyoming International gold;17306;DEBIT;DEBIT;46658
5;Jersey;collaboration Wisconsin intranet;81190;CREDIT;DEBIT;51641
6;Steel Bedfordshire Polarised;e-services Division;56287;DEBIT;CREDIT;97984
7;Group payment Extensions;Shoes Berkshire Cliff;52618;DEBIT;CREDIT;67555
8;Mandatory North Dakota;Car;70072;CREDIT;DEBIT;99970
9;Cheese Garden deposit;panel;31443;DEBIT;CREDIT;36953
10;Granite North Carolina withdrawal;task-force;44285;CREDIT;DEBIT;25944
