id;state;created_by;created_date;last_modified_by;last_modified_date
1;MODIFIED;96675;2020-03-26T03:30:19;28772;2020-03-25T09:36:59
2;MODIFIED;72986;2020-03-25T12:55:27;99584;2020-03-25T20:06:33
3;DELETED;47809;2020-03-25T05:30:09;34719;2020-03-25T22:36:19
4;MODIFIED;66702;2020-03-25T09:01:25;39058;2020-03-25T06:06:32
5;DELETED;27353;2020-03-26T01:07:24;83034;2020-03-25T10:52:17
6;ADDED;87790;2020-03-25T15:26:59;98013;2020-03-25T13:55:21
7;ACTIVE;46373;2020-03-26T00:05:12;63289;2020-03-25T18:53:04
8;ACTIVE;51877;2020-03-26T03:05:02;99089;2020-03-25T20:41:48
9;DELETED;37431;2020-03-25T17:51:34;67078;2020-03-26T00:46:34
10;ACTIVE;39707;2020-03-25T19:20:50;82093;2020-03-25T18:36:09
