id;concept;account_t;type;value;date;balance
1;Kentucky;29741;CREDIT;47193;2020-03-26T01:13:01;99701
2;Wyoming Response B2B;68659;DEBIT;18598;2020-03-26T04:42:03;63291
3;disintermediate Garden Haiti;73402;DEBIT;60550;2020-03-26T02:28:00;36557
4;Small Operations payment;83747;DEBIT;51084;2020-03-25T08:56:37;25904
5;solutions invoice withdrawal;83128;DEBIT;2755;2020-03-25T05:14:08;82194
6;grey Gourde US Dollar 4th generation;37920;CREDIT;51541;2020-03-25T17:11:29;18132
7;JBOD programming deliver;66039;CREDIT;28653;2020-03-26T01:14:10;39242
8;transmit;55214;CREDIT;52956;2020-03-26T00:11:19;67007
9;overriding Alabama monitor;26605;DEBIT;4116;2020-03-25T15:04:43;39123
10;USB Cambridgeshire;14899;CREDIT;78909;2020-03-25T08:41:56;23270
